q_hip,q_thigh,q_calf,determinant,condition_number,rank,fd_jacobian_error,fd_spatial_jacobian_error,fd_body_jacobian_error,spatial_to_point_jacobian_error
0.58575654770255,3.4311559446517155,-1.2527207751418081,0.011620704583218637,3.7211034524911906,3,6.212070156391366e-11,1.695371578676399e-10,1.6598314136123846e-10,7.97218214573518e-17
-0.3830462721021592,-0.6429821358172778,-1.0116013934545107,-0.004859743798437205,4.791051579263631,3,3.886198598422092e-11,1.0446808735019444e-10,1.000863195965398e-10,4.918789985999062e-17
0.1827156496568464,-1.0334229574236684,-1.0757942096451116,6.332637295295683e-06,2264.506479891703,3,3.617189530926792e-11,1.4763551415250512e-10,1.3738505341160583e-10,6.410789439735502e-17
0.7784503518561853,0.45184796279558403,-1.2480250038954914,-0.012132072179614269,3.7166565968838263,3,6.12152164067589e-11,1.4673280970454683e-10,1.5489684432980615e-10,3.925231146709438e-17
-0.6705287804685305,1.2476314101754324,-1.2408281304521338,-0.00997174373840719,3.7835263418839253,3,4.5980868345385325e-11,1.687550672788995e-10,1.535500274196375e-10,2.776404465302603e-17
-0.1465471534534154,1.6637335762984198,-2.4881750994055203,-0.002850647201180013,2.4774218305420854,3,5.342171806145724e-11,1.7142368854701087e-10,2.2433774350009176e-10,4.16423974613979e-17
0.5042011822947635,1.5596301029355075,-2.254538174003046,-0.004832863899919517,2.0546650027393967,3,3.9077308716884213e-11,1.339477883608894e-10,1.3999381508672832e-10,6.938893903907228e-18
0.44427576635475086,4.080029781315585,-1.7381557764031434,0.010159701285685246,2.4318077350773537,3,9.488415227783015e-11,2.2547415289885878e-10,2.2632320180401618e-10,2.6479404645468863e-17
0.38079280300427343,4.150885260238225,-2.6428996456025664,0.0017971404696647776,2.6007234320767654,3,4.8124055124431325e-11,1.9259527439634934e-10,2.2406544891307943e-10,3.720567359326163e-17
0.15892870461181796,4.017548679743694,-2.4876469205794582,0.0029169303287724193,2.1481170366980873,3,4.015569112354621e-11,1.4303107151578294e-10,1.8882293303674875e-10,1.777562605088864e-17
-0.4446167357707436,1.8337915565150436,-1.4106207297189481,-0.005147789883467848,3.604632263279262,3,4.123937971663583e-11,1.4962835960378303e-10,1.5846522541521455e-10,3.179800655392251e-17
0.08470470700575417,1.8205623447171662,-2.6047824231010086,-0.0018850605524490189,3.1202209599311876,3,2.8331256447700235e-11,1.1422943525099354e-10,1.4744934560961662e-10,3.400456267939448e-17
0.38413184546830903,0.6319916280833846,-2.5648641160324286,-0.001974523368684039,2.7697236843895188,3,3.6405593810005605e-11,1.5682120238026422e-10,1.6034993198703196e-10,2.5018537765542006e-17
0.7361639154645278,2.406833407744641,-1.8851325348879104,-0.0009508543517273311,12.298859319055733,3,3.985368249457947e-11,1.648442284959068e-10,1.7991093419777073e-10,3.122502256758253e-17
0.37356913775896283,1.4550287993122581,-2.474500307136279,-0.0031644265258032704,2.3053581468081115,3,2.5738201431345216e-11,1.4469172892320282e-10,1.725023800453898e-10,7.152448122690996e-18
0.1679242307408373,2.8637524223091435,-1.3717768416265523,0.006923864335855495,3.3448346651421343,3,5.442310295873586e-11,1.863101010528119e-10,2.083765030405155e-10,5.763878168445254e-17
