profile,description,kp,ki,kd,integral_limit,position_error_rmse_rad,velocity_error_rmse_rad_s,foot_error_rmse_m,max_position_error_rad,max_velocity_error_rad_s,max_foot_error_m,final_position_error_rad,final_velocity_error_rad_s,final_foot_error_m,max_abs_command_rad_s,saturation_ratio
low_pd,"low proportional/derivative gains, no integral term","[3.0, 3.5, 3.0]","[0.0, 0.0, 0.0]","[0.08, 0.09, 0.08]",0.35,0.03610485175353494,0.02955912055614037,0.011910401865946699,0.0560492727521386,0.04152744012203056,0.0185322489171273,0.0062491577111312485,0.021499136591242272,0.0019851563950485443,0.11377765452223107,0.0
medium_pd,"medium proportional/derivative gains, no integral term","[6.0, 7.0, 6.0]","[0.0, 0.0, 0.0]","[0.16, 0.18, 0.16]",0.35,0.0183435128106305,0.01577774571784901,0.006046399079805469,0.028724028700181908,0.022059296266051142,0.009485275193384816,0.0008166533442673727,0.0064298978540377584,0.0002541258371227299,0.11663685793982237,0.0
medium_pid,medium PID gains with integral compensation,"[8.0, 9.0, 7.5]","[0.35, 0.35, 0.3]","[0.22, 0.25, 0.2]",0.35,0.013628538885475414,0.012483988222827069,0.004481937491069569,0.021635756241726953,0.01780861451209926,0.007125423102435472,0.0014962551256686868,0.003960219818381833,0.0004981038448771455,0.11745724979141466,0.0
final_pid,selected balanced PID gains,"[9.0, 10.0, 8.0]","[0.6, 0.6, 0.5]","[0.25, 0.28, 0.22]",0.35,0.01214167129500368,0.011457435051901759,0.003975667495442237,0.019393499948342274,0.016495466961201265,0.006358285455265444,0.0022605744787945596,0.0032626324129866506,0.0007459231276270462,0.11773527282548163,0.0
high_pid,higher gains to evaluate overshoot and command effort,"[13.0, 15.0, 12.0]","[0.8, 0.8, 0.65]","[0.34, 0.38, 0.32]",0.35,0.00815159777729501,0.007699347636948634,0.0026664229827660373,0.013004225278460584,0.01103961451387451,0.004259293782916632,0.0014749706200049536,0.0013150117170068825,0.00048443383828935545,0.11771597644116856,0.0
