time,q1,q2,dq1,dq2,ddq1,ddq2,tau1,tau2,inertia1,inertia2,coriolis1,coriolis2,gravity1,gravity2,tau_model1,tau_model2,residual1,residual2,residual_norm
0.0,0.75,-1.25,0.0,0.0,-14.117461945627184,70.76656432890907,1.1083340294648185,0.3929108098735996,-1.924318700296745e-17,0.24999999999999997,0.0,-0.0,1.1083340294648185,0.1429108098735996,1.1083340294648185,0.3929108098735996,0.0,0.0,0.0
0.001,0.7499858825380544,-1.249929233435671,-0.014117461945627184,0.07076656432890907,-14.027167058036342,70.65658503090921,1.1103303459002405,0.39291399868356947,0.001969714393776024,0.2499993942146518,9.482596899882427e-06,-6.279141872431097e-07,1.1083511489095645,0.14291523238310488,1.1103303459002405,0.39291399868356947,0.0,0.0,0.0
0.002,0.7499577379090507,-1.2497878102863114,-0.028144629003663525,0.14142314935981828,-13.9382922357843,70.54873650610963,1.1123436587983877,0.3929191397039051,0.003920425103442138,0.24999756071466,3.7930591544444556e-05,-2.495500625737913e-06,1.108385303103401,0.14292407448987077,1.1123436587983875,0.392919139703905,-2.220446049250313e-16,-5.551115123125783e-17,2.2887833992611187e-16
0.003,0.7499156549878113,-1.2495758384004454,-0.042082921239447825,0.2119718858659279,-13.850835675843614,70.44299805664481,1.1143738445737295,0.39292622874013095,0.0058520952686340584,0.24999447566679703,8.534255867328488e-05,-5.578889559567462e-06,1.108436406746422,0.1429373319628935,1.1143738445737295,0.39292622874013095,0.0,0.0,0.0
0.004,0.7498597212308961,-1.2492934235165227,-0.05593375691529144,0.28241488392257275,-13.764795534363316,70.33934944856423,1.1164207790476564,0.39293526030294346,0.007764690361484083,0.24999011574524144,0.0001517147420106241,-9.85469428731827e-06,1.1085043739441616,0.14295499925198935,1.1164207790476564,0.39293526030294346,0.0,0.0,0.0
0.005,0.7497900226784464,-1.2489406692831515,-0.06969855244965475,0.352754233371137,-13.680169922916795,70.23777090507679,1.118484337458224,0.3929462276075355,0.009658178218742135,0.24998445812769368,0.00023704102288513236,-1.5300007278463154e-05,1.1085891182165968,0.1429770694871203,1.118484337458224,0.3929462276075355,0.0,0.0,0.0
0.006,0.7497066439560739,-1.2485176772788753,-0.08337872237257155,0.42299200427621375,-13.596956904597551,70.13824309941067,1.1205643944692196,0.39295912257267124,0.011532529077355582,0.24997748049112153,0.00034131288538999106,-2.1892395919286674e-05,1.108690552506474,0.14300353447746894,1.1205643944692196,0.3929591225726712,0.0,-5.551115123125783e-17,5.551115123125783e-17
0.007,0.7496096682767968,-1.2480245470314997,-0.0969756792771691,0.49313024737562444,-13.515154489964678,70.04074714729269,1.1226608241785527,0.392973935819513,0.013387715613477645,0.24996916100714958,0.00046451937811543126,-2.960989790357935e-05,1.1088085891869597,0.143034384710267,1.1226608241785527,0.392973935819513,0.0,0.0,0.0
0.008,0.7494991774430296,-1.2474613760369768,-0.11049083376713378,0.5631709945229171,-13.434760632839813,69.94526459905036,1.1247735001259827,0.39299065667020594,0.01522371298487266,0.24995947833710744,0.000606647072484342,-3.843101628239627e-05,1.1089431400686256,0.14306960934938084,1.1247735001259827,0.3929906566702059,0.0,-5.551115123125783e-17,5.551115123125783e-17
0.009000000000000001,0.7493752518486296,-1.2468282597778548,-0.1239255943999736,0.6331162591219675,-13.355773225957282,69.8517774313398,1.12690229530018,0.3930092731462223,0.01704049887668766,0.24994841162675044,0.0007676800177199737,-4.833471418627398e-05,1.1090941164057724,0.14310919623365811,1.12690229530018,0.39300927314622225,0.0,-5.551115123125783e-17,5.551115123125783e-17
