index,q1,q2,dq1,dq2,tau1,tau2,ddq1,ddq2,inertia1,inertia2,coriolis1,coriolis2,gravity1,gravity2,residual1,residual2,residual_norm
0,0.7102929290517829,-1.0585417791217693,-0.7427115513647276,-0.7725838997373413,2.4535283413533975,5.655313695442571,-286.98091957266183,1564.4324997921874,1.2950445759093754,5.503839364871891,0.005048321517370641,-0.0015963070279423179,1.1534354439266519,0.15307063759862172,4.440892098500626e-16,0.0,4.440892098500626e-16
1,-0.07715338489534995,-1.481981362914264,0.4331692718471656,-0.05860065866144981,-1.3564491097486169,-2.4136351245180876,-4.871940361208134,-511.4882624631938,-2.673711432759057,-2.4149136280469046,-0.0001565293921468405,-0.0006204949203701482,1.3174188524025872,0.0018989984491872484,0.0,0.0,0.0
2,-0.2978339949700928,-1.245333834088442,-0.397093440800645,-0.22184649341879648,0.6447651093338855,2.937435073155486,-194.8229201188368,866.6744281243028,-0.6217981332203962,2.9334324807760233,0.000709053811172029,-0.0004960255873495779,1.2658541887431105,0.00449861796681286,7.771561172376096e-16,4.440892098500626e-16,8.95090418262362e-16
3,0.5996038034851668,-0.9572955461114281,-0.9635652884425066,0.3085142994642478,0.6730007800874436,5.621456209379012,-391.73466238860954,1722.5398521408601,-0.567462763645729,5.471437496758352,-0.0013555579723422315,-0.002520351924966186,1.2418191017055142,0.15253906454562494,-5.551115123125783e-16,-1.7763568394002505e-15,1.8610729195778454e-15
4,1.10244679343363,-1.6871768815291592,0.6566565959796777,-0.49335221863455914,1.995327834686968,4.230693762958776,-113.96191101505765,980.964900892495,1.2652546793681136,4.0963247111201815,-0.0013339530728646658,-0.0014218929665161181,0.7314071083917194,0.13579094480511042,4.440892098500626e-16,0.0,4.440892098500626e-16
5,0.955193958432713,-0.7593970831059637,0.269410894736992,0.7184170759721613,-0.03682022599589807,-4.266226406526222,277.9640263376071,-1368.0500937302888,-0.9605333391530528,-4.425794993780838,0.00206455554636554,-0.00016590613114146133,0.9216485576107882,0.15973449338575782,-9.992007221626409e-16,0.0,9.992007221626409e-16
6,-0.14390744061389887,-1.2021225550311594,0.49070680364439956,-0.10131343409187976,2.9004412010644973,-5.994952748483573,422.755072990994,-1821.1888443330674,1.5586163189190143,-6.030501916956947,-0.0002761395473794827,-0.0007457162807980845,1.3421010216928622,0.03629488475417166,0.0,0.0,0.0
7,1.15473802251609,-1.2261014155174461,0.6536725097429752,0.4578513731474485,4.490933302912188,-1.867795459563684,291.52302944675387,-795.5728089317489,3.7927119227292896,-2.0288918182957523,0.0025253854542019016,-0.0013351515507477848,0.6956959947286958,0.16243151028281594,-8.881784197001252e-16,2.220446049250313e-16,9.155133597044475e-16
8,-0.2230408631391134,-1.2446852110171827,-0.33741075797299436,-0.20272921940064093,7.879127126887614,-3.055562975721191,477.4959455853006,-1243.39406022946,6.575051269840829,-3.0719598033602638,0.0005595154366932866,-0.00035804807346966104,1.3035163416100912,0.01675487571254265,0.0,4.440892098500626e-16,4.440892098500626e-16
9,0.8520172269039713,-1.533638698628224,0.18737972009791148,-0.3065817488595961,-4.121922056801695,-1.7179715147824695,-147.18017044342753,-243.5242328311715,-5.117121186209149,-1.8443134338541938,-6.934685820902828e-05,-0.00011648858599023711,0.9952684762656617,0.12645840765771468,0.0,0.0,0.0
